topico,titular,fecha_publicada,nr_parrafos,texto
violencia,Temuco refuerza la seguridad en sus centros de salud con una inversión de más de millones anuales desde el,7 de noviembre de 2025,15,Tras el reciente hecho de violencia ocurrido en las dependencias del Cesfam Amanecer se activaron los protocolos de emergencia y se prestó apoyo inmediato a todo el equipo para mitigar las consecuencias de lo sucedido El pasado de noviembre alrededor de las horas un individuo ingresó al centro de salud familiar con una herida en la cabeza Mientras el personal de salud le brindaba atención tres personas llegaron al lugar amenazando y agrediendo nuevamente al afectado El episodio generó pánico entre las y los usuarios presentes y en el equipo de salud debido al alto nivel de violencia Ante esta situación desde el Departamento de Salud Municipal recordaron episodios similares y destacaron la activación de los protocolos así como los resguardos implementados desde para proteger a quienes visitan y trabajan en el Cesfam Hemos postulado a proyectos para mejorar la seguridad y hoy todo el sector del SAPU está blindado con botones de pánico y cámaras que pueden ser utilizadas Más adelante contaremos con reconocimiento facial por lo tanto estamos adelantándonos en tecnología para poder aplicar los pórticos comentó el director del Departamento de Salud Municipal José Miguel Mella En materia de infraestructura solo en se invirtieron cerca de millones de pesos en blindaje de mamparas ventanillas y puertas además de otros millones en equipamiento de seguridad incluyendo balizas en el estacionamiento control de acceso vehicular botones de pánico y una cerradura biométrica para la puerta del SAPU de Amanecer Otro de los avances fue el aumento de cámaras de vigilancia alcanzando un total de equipos distribuidos en todos los establecimientos Al respecto el director explicó en vigilancia invertimos millones de pesos al año entre guardias circuito cerrado de televisión y manejo adecuado de las cámaras de seguridad Estos contratos más las cámaras que hemos instalado otorgan mayor seguridad a las y los funcionarios así como también a las y los usuarios Esta inversión en seguridad ha sido una política de nuestro alcalde Roberto Neira y de todo el Concejo Municipal que constantemente está preocupado por los funcionarios de la salud Los establecimientos más beneficiados con estas medidas han sido Labranza y Pedro de Valdivia ambos con inversiones de millones durante y sectores donde se han registrado episodios reiterados de violencia Incorporación de pórticos Durante la jornada del incidente el alcalde Roberto Neira anunció la futura implementación de pórticos detectores de metales en los centros de salud Hace un año y medio sufrimos un impacto de bala en el exterior de este establecimiento Amanecer Ese fue uno de los motivos por los cuales nosotros ya los aprobamos en el Concejo municipal y está siendo firmado un contrato de suministros El primer consultorio en que nosotros vamos a instalar un detector de metales es este Amanecer y en Pedro de Valdivia porque hemos tenido situaciones complejas señaló En la misma línea la vicepresidenta de Afusam María Elena Rosas indicó Para nuestros funcionarios es una buena solución Nosotros hicimos una votación y más del de los asociados está de acuerdo con la instalación de pórticos aquí en Amanecer y Pedro de Valdivia que es donde suceden hechos de violencia Apoyo a las y los funcionarios Si bien la tecnología mejora los niveles de seguridad el equipo también requiere contención emocional luego de episodios críticos Por esta razón en menos de horas se activaron medidas de apoyo psicológico junto a Mutual de Seguridad El director del Cesfam Amanecer Jorge Valenzuela señaló que se hará un catastro para poder apoyar con el modelo MACC Modelo de Apoyo ante Contingencia de Crisis que involucra seguimiento y atención directa y también se está organizando junto a Mutual la contención grupal Además con el Cogrid del Cesfam se están buscando estrategias para poder reforzar la comunicación de riesgo funcionario realizando material gráfico y difundiendo los protocolos de actuación interna El alcalde Neira añadió El MACC incluye servicios como el Equipo de Respuesta ante Incidentes Críticos ERIC la Atención Psicológica Temprana APT y apoyo a la contingencia Todo sumado a las medidas municipales como una mesa de trabajo que unifique protocolos para todos los centros de salud Otra de las medidas anunciadas es la creación de una mesa preventiva para unificar criterios tal como explicó el jefe comunal Así como tenemos protocolos claros en los establecimientos educaciones vamos a tener que trabajar fuertemente en un protocolo común para nuestros ocho Cesfam puntualizó finalmente
violencia,En pocas horas patrulleros municipales de Temuco hallan en toma un vehículo que estaría vinculado a violento asalto,3 de noviembre de 2025,5,En un patrullaje rutinario funcionarios de la DISEP de la Municipalidad de Temuco detectaron un vehículo con encargo por robo presuntamente involucrado en un violento asalto ocurrido anoche en un minimarket del sector poniente de la ciudad En cuestión de horas el trabajo preventivo de los patrulleros municipales de Temuco permitió dar con un vehículo que estaría involucrado en un violento robo con violencia perpetrado anoche en un minimarket de Av Andes donde cuatro antisociales asaltaron el local tras movilizarse en un automóvil robado previamente también con violencia a un conductor de aplicación El hallazgo se produjo cerca de las horas de este lunes cuando una patrulla de la Dirección de Seguridad Pública DISEP efectuaba un recorrido por calle Prat a la altura de calle Imperial y detectó al interior del campamento Pichi Cautín un vehículo color rojo de similares características al sustraído durante anoche Al acercarse los fiscalizadores constataron que el vehículo marca Changan modelo CS no tenía placas patentes instaladas las que fueron encontradas al interior del automóvil Tras consultar con la Sala de Teleprotección de la DISEP se confirmó que el vehículo mantenía encargo vigente por robo dando aviso inmediato a Carabineros de la Segunda Comisaría de Temuco quienes concurrieron al lugar para adoptar el procedimiento de rigor El director de Seguridad Pública Richard Gutiérrez señaló que el hallazgo demuestra la efectividad de la labor de nuestros patrulleros municipales que con su trabajo preventivo permiten actuar con rapidez y aportar información valiosa a las investigaciones de Carabineros y Fiscalía En paralelo vamos a reforzar el trabajo conjunto con los locatarios y residentes del sector Llaima para fortalecer la seguridad y resguardar la tranquilidad de los vecinos de la zona De acuerdo a nuestro análisis criminal se trata de dos hechos puntuales en un mismo local que más que preocuparnos nos empuja a fortalecer nuestras estrategias preventivas y mantener presencia constante en terreno para evitar que este tipo de delitos se repitan
violencia,Operativos simultáneos del municipio despejan a una treintena vendedores ambulantes ilegales de distintos sectores de Temuco,17 de octubre de 2025,8,La Municipalidad de Temuco en coordinación con Carabineros desarrolló fiscalizaciones simultáneas en diferentes macrosectores de la ciudad logrando retirar a comerciantes ambulantes informales con una serie de infracciones Todos los operativos se realizaron sin incidentes La dirección de Seguridad Pública DISEP de la Municipalidad de Temuco con apoyo de la Comisaría de Carabineros ejecutó intervenciones simultáneas en los macrosectores Labranza Fundo El Carmen y Pedro de Valdivia logrando retirar a comerciantes ambulantes ilegales decomisar especies y cursarles alrededor de infracciones por ejercer el comercio sin permiso municipal Las fiscalizaciones a cargo de inspectores del departamento de Acciones Tácticas Preventivas de la DISEP se llevaron a cabo como parte de las labores municipales de reordenamiento de espacios públicos impulsado por la administración municipal del alcalde Roberto Neira con el objetivo de proteger el comercio establecido garantizar el libre tránsito de peatones y fortalecer la seguridad comunitaria En Labranza los inspectores municipales retiraron toldos carros y camionetas que operaban sin permiso en la entrada de la localidad y en la intersección de Oriente con Los Raulíes donde además se cursaron infracciones a vendedores de alimentos sin autorización sanitaria ni municipal De igual manera se efectuó el retiro de un punto de venta irregular en Camino Estación dejando el sector completamente despejado En Fundo El Carmen las fiscalizaciones se concentraron en la calle Los Creadores donde se detectó una camioneta dedicada a la venta ilegal de frutas y verduras en plena vía pública mientras que en Pedro de Valdivia a la altura de Liceo La Frontera camino a Cholchol se realizaron decomisos y desalojos en coordinación con Carabineros de la comisaría logrando intervenir sin contratiempos ni incidentes El alcalde de Temuco Roberto Neira aseguró que la prioridad es mantener el orden y la seguridad en todos los sectores de Temuco Estos operativos no buscan perseguir a nadie sino garantizar que los espacios públicos sean realmente de las personas de las familias y del comercio que cumple con la ley Hemos trabajado junto a Carabineros para intervenir en distintos puntos como Labranza Fundo El Carmen y Pedro de Valdivia siempre de manera respetuosa sin violencia y con resultados concretos Seguiremos firmes en esta línea recuperando los lugares que pertenecen a la comunidad y fortaleciendo la convivencia en nuestra ciudad Por su parte el director de Seguridad Pública Richard Gutiérrez destacó la importancia de este trabajo colaborativo y su impacto en la percepción de seguridad de los vecinos Estos operativos simultáneos son una señal clara del compromiso que tenemos con el orden y la seguridad en Temuco No se trata solo de retirar puestos sino de recuperar espacios para las familias mejorar la movilidad urbana y proteger a quienes sí cumplen con las normas Este es un trabajo sostenido que seguiremos reforzando con el apoyo de Carabineros y las distintas direcciones municipales Los procedimientos se desarrollaron bajo un enfoque preventivo y de respeto hacia las personas priorizando el diálogo la rapidez operativa y la seguridad de los equipos en terreno Desde la municipalidad reafirmaron su compromiso con el ordenamiento territorial la prevención de incivilidades y la protección del espacio público como un bien común que pertenece a todos los temuquenses y no para el lucro de unos pocos
violencia,Contactó a la víctima por Facebook patrullaje municipal en Temuco permite detener a violento sujeto que golpeó y robó zapatillas a un adolescente,16 de octubre de 2025,6,La rápida respuesta de los inspectores municipales permitió detener a un antisocial que agredió y robó un par de zapatillas a un menor de edad que las vendía por redes sociales El procedimiento fue informado a Carabineros quienes adoptaron las diligencias de rigor Un violento robo con violencia terminó con un delincuente de años detenido gracias a la rápida intervención de los inspectores municipales de la dirección de Seguridad Pública de la municipalidad de Temuco El hecho se produjo cuando un adolescente ofrecía en venta un par de zapatillas a través de la plataforma Marketplace de Facebook siendo contactado por un supuesto comprador que lo citó en Av Prieto Norte con Manuel Rodríguez Al momento de probarse el calzado el sujeto forcejeó y agredió con un golpe de puño en el ojo izquierdo a la víctima para luego escapar con las zapatillas puestas Minutos después inspectores municipales que patrullaban preventivamente en Av Pedro de Valdivia fueron alertados por transeúntes sobre el asalto De inmediato iniciaron la búsqueda del agresor logrando interceptarlo en calle Freire esquina Rodríguez donde fue reducido y esposado luego que mostrara una actitud violenta y descontrolada que amenazaba tanto su propia integridad como la de los funcionarios municipales y transeúntes El director de Seguridad Pública Richard Gutiérrez señaló que este caso refleja la efectividad del patrullaje preventivo y la capacidad de respuesta de nuestros inspectores municipales tras el oportuno aviso de vecinos En minutos lograron identificar al agresor detenerlo y recuperar la especie sustraída Lo importante aquí es que se evitó una situación mayor y se actuó con criterio y profesionalismo resguardando tanto la integridad de la víctima como la de los propios funcionarios y transeúntes El menor de edad detenido de iniciales J E V N mantiene dos antecedentes policiales El procedimiento fue informado a Carabineros de la Segunda Comisaría de Temuco quienes adoptaron las diligencias de rigor En tanto las zapatillas robadas avaluadas en fueron recuperadas y entregadas a su propietario
violencia,Cámara aprueba proyecto Ley Insuco que permite uso de pórticos en colegios Temuco marca precedente nacional con su plan Educa y Protege,16 de octubre de 2025,6,Tras la aprobación del proyecto en la Cámara de Diputadas y Diputados la iniciativa pasará al Senado El alcalde de Temuco Roberto Neira destacó el avance como un reconocimiento al trabajo municipal en materia de seguridad escolar Un importante avance en materia de seguridad escolar se concretó este miércoles en el Congreso Nacional luego de que la Cámara de Diputadas y Diputados aprobara el proyecto de ley que autoriza la instalación de detectores de metales en establecimientos educacionales y centros de salud La medida que ahora continuará su tramitación en el Senado busca fortalecer los entornos seguros y prevenir hechos de violencia al interior de los recintos Esta discusión legislativa ha tenido como principal referente el plan Temuco Educa y Protege impulsado por la Municipalidad de Temuco el cual incorporó por primera vez en el país pórticos detectores de metales en un establecimiento público el Instituto Superior de Comercio Insuco El programa que combina tecnología formación y acompañamiento socioemocional ha sido reconocido por autoridades y especialistas como un modelo replicable para otras comunas El alcalde de Temuco Roberto Neira valoró el respaldo parlamentario y señaló que este avance refuerza el camino emprendido por la comuna Se ha dado un paso importante en el Congreso Nacional La Cámara de Diputados ha aprobado la instalación de tecnología para la seguridad de los establecimientos educacionales que contempla los detectores de metales Nuestro Plan Educa y Protege donde trabajamos varias temáticas y una de ellas es la seguridad interna y externa de nuestros establecimientos es que nos atrevimos a instalar estos pórticos para entregar mayor seguridad a nuestras alumnas a nuestros alumnos y a la comunidad escolar en general señaló el jefe comunal Asimismo Neira agregó que creemos que este paso al Senado viene a ratificar lo que venimos haciendo en la ciudad de Temuco Fuimos la primera escuela pública la Ley Insuco como se le conocerá Creemos que vamos por el camino correcto y esperaremos los resultados en el Senado porque la seguridad de nuestros estudiantes no puede esperar Con esta aprobación podemos afirmar que el Congreso reconoce la experiencia de Temuco como pionera en la implementación de medidas preventivas para la convivencia escolar consolidando a la comuna como ejemplo nacional en innovación y gestión municipal orientada a la seguridad educativa
violencia,Carabineros detiene a sujeto que amenazó de muerte a inspector municipal de Temuco por cursarle una multa de tránsito,9 de octubre de 2025,7,Todo sucedió cuando un inspector municipal fue intimidado luego de cursar una infracción de tránsito La rápida coordinación entre la dirección de Seguridad Pública y Carabineros permitió la detención del agresor quien quedó con medidas cautelares y enfrenta cargos La Municipalidad de Temuco a través de su dirección de Seguridad Pública condenó enérgicamente las amenazas y agresiones sufridas por un inspector municipal durante un procedimiento de fiscalización vial ocurrido en el centro de la capital regional El incidente se registró en Av San Martín entre Patricio Lynch y General Pedro Lagos mientras el equipo de fiscalizadores realizaba un recorrido preventivo para verificar vehículos mal estacionados Al cursar una infracción a un automóvil estacionado sobre la vereda el propietario del mismo salió desde un taller mecánico profiriendo insultos y amenazas de muerte contra el funcionario gritándole Donde te pille te mato Ante la situación el funcionario municipal solicitó apoyo a la Sala de Teleprotección Municipal activándose de inmediato el protocolo de emergencia con la concurrencia de la Sección Motorizada Municipal y Carabineros de Chile El individuo fue detenido en el interior de un taller mecánico siendo identificado como DMGC de años y trasladado a la Segunda Comisaría de Temuco El alcalde de Temuco Roberto Neira fue categórico en rechazar cualquier acto de violencia o amenaza contra nuestros funcionarios municipales Los inspectores cumplen un rol esencial preventivo para mantener el orden la seguridad y la convivencia en Temuco y merecen trabajar con respeto y resguardo Quiero agradecer la rápida reacción de la Dirección de Seguridad Pública y de Carabineros que permitió detener al agresor y garantizar que la justicia actúe Por su parte el director de Seguridad Pública de la municipalidad Richard Gutiérrez reconoció que este caso refleja los riesgos que enfrentan nuestros inspectores en terreno muchas veces al hacer cumplir normas básicas de convivencia No toleraremos amenazas ni agresiones de ningún tipo Gracias al apoyo de nuestra Sala de Teleprotección y la coordinación con Carabineros el sujeto fue detenido rápidamente Vamos a seguir fiscalizando con firmeza pero también respaldando con fuerza a nuestros equipos porque detrás de cada uniforme hay una persona que cumple una labor por el bien de todos En la audiencia de control de detención el Juzgado de Garantía de Temuco acogió la formalización de la Fiscalía por el delito de amenazas simples decretando días de investigación y la prohibición de acercarse al funcionario afectado El imputado arriesga una pena de hasta días de presidio menor en su grado mínimo
violencia,Patrullaje preventivo municipal en Temuco facilita detención de delincuente que era requerido por la justicia de Concepción,8 de octubre de 2025,5,El trabajo conjunto entre inspectores municipales y Carabineros permitió detener a un prófugo de la justicia que huía por el centro de la capital regional y que arrastraba una orden de detención vigente emanada desde tribunales de la región del Biobío En las últimas horas inspectores de la dirección de Seguridad Pública de la Municipalidad de Temuco cooperaron activamente con Carabineros en la detención de un delincuente que huía por el centro de la capital regional El individuo identificado con las iniciales I L E de años mantenía una orden de detención vigente emitida por el Juzgado de Garantía de Concepción por el delito de robo con violencia Según los antecedentes entregados el sujeto fue divisado por personal policial al interior de la Plaza Teodoro Schmidt iniciando su fuga por calle Arturo Prat contra el sentido del tránsito En ese momento motoristas de Carabineros comenzaron su persecución siendo apoyados por personal fiscalizador municipal quienes se percataron del operativo y colaboraron en la detención del individuo a metros de la intersección con calle Diego Portales El director de Seguridad Pública de Temuco Richard Gutiérrez destacó que este procedimiento refleja el nivel de coordinación que mantenemos con Carabineros y el compromiso de nuestro personal con la seguridad de la ciudad Nuestros inspectores al percatarse de la persecución en la que el delincuente escapaba prestaron apoyo inmediato para lograr la detención del individuo con orden vigente por robo con violencia en Concepción Esa capacidad de reacción es fruto del entrenamiento del trabajo táctico preventivo y del despliegue permanente que realizamos en el centro y los distintos sectores de Temuco Finalmente Carabineros adoptó el procedimiento de rigor para colocar al antisocial a disposición de la justicia en el Biobío
violencia,En la Expo Seguridad Santiago Temuco lidera la seguridad nacional con enfoque en la Protección de la Infancia a través del Plan Temuco Educa Protege,3 de octubre de 2025,6,Esta iniciativa presentada en la Expo Seguridad en Santiago y destacada en el encuentro de AMUCH sobre Crimen Organizado se ha consolidado como un referente para el país en la protección de las comunidades educativas La gestión del alcalde Roberto Neira en la comuna ha situado la seguridad de los niños y adolescentes como una prioridad nacional a través del innovador Plan Temuco Educa Protege El enfoque del Plan en la protección de los más jóvenes ha recibido un espaldarazo significativo de expertos en seguridad El ex General Director de Carabineros Ricardo Yáñez resaltó la visión estratégica del alcalde Neira señalando que la preocupación por la niñez es crucial para la seguridad del país quiero primero felicitar al alcalde porque en la exposición habló realmente en lo que debemos enfocarnos en un trabajo desde el municipio que debe abordar alianzas estratégicas con el mundo de la academia apuntando a los más jóvenes que son los más vulnerables para ser reclutados Hoy preocuparse de los niños es preocuparse de la seguridad del país y eso quedó demostrado en la exposición del alcalde afirmó Yáñez El alcalde Roberto Neira destacó que la invitación a la Expo Seguridad en la Región Metropolitana llega a validar el trabajo serio el cual hemos realizado en la comuna El Plan Temuco Educa Protege ya no es una iniciativa local es un referente para el país en la protección de las comunidades educativas Con la instalación pionera de pórticos de control y el despliegue de nuestra Patrulla Escolar estamos dando soluciones concretas para garantizar entornos libres de violencia Cabe destacar que la Patrulla Escolar cuenta con presencia preventiva y especializada en sectores escolares con el objetivo de prevenir incivilidades y promover entornos seguros para niños y adolescentes reforzando el vínculo entre escuelas comunidades y seguridad pública Es en este tipo de espacios donde hay alcaldes de todo el país es donde demostramos que la planificación y la valentía en la gestión sí dan resultados y el Plan Temuco Educa Protege es un compromiso con la tranquilidad de toda una comunidad y sus familias finalizó el alcalde Neira
violencia,Temuco lanza campaña preventiva seguro para prevenir incivilidades violencias y delitos en Fiestas Patrias,5 de septiembre de 2025,7,La Municipalidad de Temuco encabezó el lanzamiento de su campaña Seguro destinada a reforzar la prevención del consumo excesivo de alcohol los accidentes de tránsito y delitos asociados durante Fiestas Patrias La Municipalidad de Temuco a través de la dirección de Seguridad Pública y en coordinación con la Seremi de Seguridad Pública Carabineros y Senda Araucanía lanzó la campaña preventiva Seguro que busca reforzar la seguridad la prevención de incivilidades y la protección de la comunidad durante las celebraciones por las venideras Fiestas Patrias En este marco el alcalde de Temuco Roberto Neira recalcó que la seguridad municipal está coordinada con Carabineros con las policías en general con la Seremi de Seguridad Pública para que el de septiembre sea una celebración y no tengamos que lamentar situaciones complejas es por eso que nuestro personal de seguridad apoyará a Carabineros en algunos lugares donde se van a llevar eventos más públicos masivos y también nosotros tendremos nuestro contingente distribuido en la ciudad para entregar la mayor seguridad que podamos nosotros como municipio y despegarlo en distintas zonas Por su parte el seremi de Seguridad Pública de La Araucanía Israel Campusano reveló que a propósito de la Conferencia Internacional sobre Geoparques que se celebrará en Temuco la ciudad dispondrá de más contingente más medios Por lo tanto vamos a poder contar incluso con personal de la Fuerza Aérea de la Armada que nos va a estar colaborando en todo lo que es la seguridad de estas fiestas Hemos planificado en conjunto con Carabineros con la Policía de Investigaciones y por supuesto también con la Municipalidad de Temuco para que estas fiestas puedan ser tranquilas seguras y familiares En tanto la directora regional de Senda Araucanía Lissy Cerda admitió que para su repartición es importante iniciar la campaña cuidarse y por eso vamos a hacer una serie de actividades en conjunto con los equipos que Senda Previene entregando mensajes preventivos Queremos reforzar el no consumo en menores de edad Y también a todos los automovilistas y para eso vamos a estar en conjunto con Carabineros y la Ambulancia Tolerancia Cero desplegándonos en toda la región especialmente el fin de semana largo Es conocido que durante Fiestas Patrias existe un importante incremento de accidentes de tránsito bajo los efectos del consumo de alcohol y otras drogas así como otros delitos e incivilidades Por este motivo es que desde la dirección de Seguridad Pública realiza diversas actividades preventivas en los macrosectores de la comuna para sensibilizar a la comunidad para advertir sobre los riesgos que conlleva el consumo de alcohol y drogas en estas fiestas a fin de evitar accidentes de tránsito y con ellos las duras sanciones asociadas a estos delitos
violencia,A dos años de su lanzamiento estrategia de seguridad de Temuco acumula más de detenidos y vehículos recuperados,14 de agosto de 2025,7,La Estrategia Integral de Seguridad impulsada por la municipalidad de Temuco a través de su dirección de Seguridad Pública ha dejado resultados contundentes con cientos de detenidos por delitos de alta connotación pública y la recuperación de decenas de vehículos con encargo por robo evidenciando un trabajo sostenido y coordinado con las policías El de agosto de la dirección de Seguridad Pública de la municipalidad de Temuco puso en marcha la Estrategia Integral de Seguridad un plan que combina presencia preventiva fiscalización focalizada y trabajo interinstitucional con Carabineros la PDI y el Ministerio Público A dos años de su inicio los resultados son contundentes detenidos por delitos como violencia intrafamiliar receptación robo por sorpresa robo con intimidación hurto acoso sexual tráfico de drogas y riñas en la vía pública Solo en y hasta el de agosto se registran detenciones en y en En paralelo desde febrero de hasta el de agosto de este año los inspectores municipales encabezados por la Patrulladron han recuperado vehículos en y en con encargo vigente por robo o vinculados a delitos como falsificación y clonación de placas patentes apropiación indebida y estafa De estos procedimientos personas fueron detenidas y puestas a disposición de la justicia El alcalde de Temuco Roberto Neira destacó que desde que lanzamos la Estrategia Integral de Seguridad hemos demostrado que con planificación coordinación y trabajo constante se pueden obtener resultados concretos Hoy superamos los detenidos y hemos recuperado vehículos robados lo que significa más seguridad en las calles y más tranquilidad para las familias de Temuco Seguiremos fortaleciendo esta labor porque la seguridad de nuestros vecinos es y seguirá siendo una prioridad municipal En la misma línea el director de Seguridad Pública Richard Gutiérrez enfatizó que estos resultados reflejan un trabajo sistemático y en terreno con inspectores municipales que actúan en coordinación con Carabineros PDI y otras instituciones No hablamos solo de cifras hablamos de delitos de alta connotación pública que hemos enfrentado y de bienes que hemos devuelto a sus legítimos dueños Nuestra misión es clara presencia preventiva respuesta rápida y un compromiso permanente con la seguridad de Temuco La Estrategia Integral de Seguridad se ha consolidado como una herramienta clave para prevenir delitos que afectan directamente la percepción de seguridad en la comunidad con operativos en distintos sectores de la comuna patrullajes focalizados y la utilización de tecnología como drones y sistemas de teleprotección
